  -3.140000  -0.001593
  -2.983000  -0.157929
  -2.826000  -0.310380
  -2.669000  -0.455196
  -2.512000  -0.588816
  -2.355000  -0.707951
  -2.198000  -0.809672
  -2.041000  -0.891476
  -1.884000  -0.951351
  -1.727000  -0.987825
  -1.570000  -1.000000
  -1.413000  -0.987576
  -1.256000  -0.950859
  -1.099000  -0.890753
  -0.942000  -0.808736
  -0.785000  -0.706825
  -0.628000  -0.587528
  -0.471000  -0.453778
  -0.314000  -0.308866
  -0.157000  -0.156356
  0.000000  0.000000
  0.157000  0.156356
  0.314000  0.308866
  0.471000  0.453778
  0.628000  0.587528
  0.785000  0.706825
  0.942000  0.808736
  1.099000  0.890753
  1.256000  0.950859
  1.413000  0.987576
  1.570000  1.000000
  1.727000  0.987825
  1.884000  0.951351
  2.041000  0.891476
  2.198000  0.809672
  2.355000  0.707951
  2.512000  0.588816
  2.669000  0.455196
  2.826000  0.310380
  2.983000  0.157929
  3.140000  0.001593
